YPM,IndividualID,group,Locality,Standard Length,Head Length,Snout Length,Eye Diameter,Interorbital Width,Pelvic Fin Length,Pelvic Fin base,inter-pelvic space,width of pectoral base,Length of anal fin,Baselengthfirst dorsal,Length longest1st dorsal ray,Base of second dorsal length
24055,,nudifrons,Dallman bay,140,31.69,10.48,8.94,2.23,27.04,3.89,8.56,9.8,62.54,6.28,10.52,72.56
24028,20742,nudifrons,Dallman bay,158,41.49,11.02,10.86,2.42,31.97,5.88,10.17,11.61,72.41,9.38,15.81,88.88
24028,20741,nudifrons,Dallman bay,127,30.35,8.46,8.73,2.07,30.81,4.69,6.8,9.96,60.03,8.05,11.47,68.45
24016,20712,nudifrons,Dallman bay,146,37.56,8.64,9.42,2.24,31.06,5.66,7.8,10.84,71.08,8.19,11.41,75.58
24023,,nudifrons,Dallmann bay,120,28.33,7.55,9.65,2.18,26.48,4.8,5.59,9.08,54.35,3.81,10.65,64.9
21430,20851,nudifrons,elephant,140,35.75,8.63,10.8,3.44,27.75,7.63,9.89,11.11,61.9,12.36,13,77.76
21508,,nudifrons,elephant,127.19,33.48,9.42,9.62,3.22,25.02,4.58,8.7,11.04,65.32,7.41,11.11,67.95
21511,,nudifrons,elephant,145,40.35,12.8,11.5,3.51,29.52,5.12,9.13,12.71,72.96,9.89,15.56,82.08
21494,148,nudifrons,elephant,130,34.49,9.8,11.08,2.5,29.84,5.66,5.53,11.64,61.22,7.84,12.5,73.83
21494,149,nudifrons,elephant,127,33.77,10.13,10.19,2.59,25.44,3.91,4.84,10.63,54.42,8.07,9.53,72.53
24032,20867,nudifrons,elephant,119,27.15,8.34,8.02,1.76,26.66,3.54,5.62,7.93,50.63,5.9,8.86,56.91
24032,20864,nudifrons,elephant,125,30.73,9.55,8.47,2.29,29.33,4.35,6.52,9.77,64.67,7.94,11.46,68.32
24032,20865,nudifrons,elephant,116,30.21,9.04,8.14,2.11,27.22,3.97,3.37,8.33,60.91,7.07,11.37,61.95
21496,157,nudifrons,king george,155,43.28,13.97,13.97,3.38,32.04,5.73,10.01,14.05,70.18,9.95,12.06,78.61
21496,156,nudifrons,king george,133.63,37.23,11.04,11.65,3.63,28.72,5.47,7.83,11.15,69.77,6.7,10.96,70.82
21496,159,nudifrons,king george,119.62,31.3,9.44,8.91,2.6,29.48,5.09,9.21,9.76,56.51,7.64,9.39,67.44
21496,158,nudifrons,king george,126.28,33.97,8.4,9.28,2.39,25.53,4.21,7.88,10.73,58.11,7.25,13.88,70.01
21496,155,nudifrons,king george,116.89,29.72,7.44,9.22,2.49,25.01,3.76,5.46,8.48,55.02,6.55,8.43,59.55
24006,20800,nudifrons,low island,121,28.98,9.43,7.9,2.03,25.37,3.58,8.27,9.01,55.15,4.6,8.39,59.64
24273,,nudifrons,low island,151,35.37,10.18,9.3,2.69,28.35,5.83,7.66,12.47,63.01,9.31,10.46,75.82
24271,20772,nudifrons,low island,148,37.54,10.76,10.92,2.44,27.72,4.58,4.29,11.98,60.67,6.38,10.02,81.42
24271,20771,nudifrons,low island,131,34.11,8.91,8.94,2.14,27,6.51,4.23,10.54,61.61,8.61,9.41,75.28
24271,20774,nudifrons,low island,111,28.74,7.82,7.91,1.75,24.73,4.52,4.14,7.39,49.06,5.74,9,64.52
24271,20773,nudifrons,low island,111,29.54,8.43,8.07,1.46,25.01,3.8,5.36,7.91,53.26,6.13,10.7,60.45
24271,20770,nudifrons,low island,145,37.14,11.01,10.39,2.41,30.7,4.25,8.31,12.16,64.82,7.69,12.33,81.36
24271,20780,nudifrons,low island,132,33.25,8.6,9.18,1.62,24.7,3.53,4.98,10.06,61.41,7.74,9.55,71.7
24271,20781,nudifrons,low island,116,31.41,10.45,9.52,1.92,27.94,4.77,4.04,9.19,55.87,5.96,9.49,64.64
24271,20776,nudifrons,low island,119,30.47,8.44,8.3,1.54,26.48,4.33,4.04,8.85,56.26,7.98,11.35,63.78
24271,20775,nudifrons,low island,113,26.32,8.04,7.85,1.65,22.79,4.23,2.65,7.07,51.53,5.12,9.69,55.07
24042,20887,nudifrons,Low island,145,34.64,9.51,9.55,2.64,27.08,4.51,7.58,8.97,63.9,6.57,10.64,74.85
24042,20888,nudifrons,Low island,134,32.97,8.93,10.33,2.16,26.02,4.55,8.13,9.52,58.45,8.38,9.36,69.45
22513,,nudifrons,orkney,144,38.07,10.99,11.09,2.16,29.13,4.28,10.07,9.86,60.22,5.56,10.7,73.04
22549,15205,nudifrons,orkney,112,27.19,7.94,8.39,1.94,26.16,3.76,5.4,8.58,48.9,5.06,10.4,55.11
22549,15204,nudifrons,orkney,133,30.19,9.36,9.08,1.92,26.4,3.4,7.92,9.22,57.37,4.48,10.42,67.5
22599,14911,nudifrons,orkney,116,28.46,7.81,9.81,2.05,24.29,3.24,6.69,7.91,49.52,3.92,10.32,58.67
22599,14910,nudifrons,orkney,126,32.16,8.88,10.16,2.86,25.57,4.09,7.6,9.99,55.55,5.72,11.25,64.41
22606,14921,nudifrons,orkney,114,27.51,6.42,9.37,1.32,24.07,2.64,4.76,7.63,46.8,4.92,10.22,60.42
22606,14920,nudifrons,orkney,116,29.09,7.91,9.77,2.23,24.81,5.43,3.61,8.82,53.01,4.8,10.97,61.61
22648,14183,nudifrons,orkney,114,27.68,6.73,8.95,2.99,26.93,3.88,3.12,8.74,50.44,5.42,10.29,56.74
22692,14727,nudifrons,orkney,127,33.67,9.07,9.41,2.08,31.85,3.58,6.06,9.39,56.56,4.37,13.45,62.08
22692,14726,nudifrons,orkney,133,35.42,9.18,11.55,2.05,27.04,4.16,4.04,8.96,62.73,4.98,12.95,64.9
16499,7763,nudifrons,penin,155,44.61,13.33,13.06,2.86,24.36,6.62,8.28,13.26,70.78,8.95,12.85,82.86
16499,7764,nudifrons,penin,145,38.69,11.03,12.67,2.1,30.97,4.9,5.39,7.1,61.07,8.37,12.96,75.56
16412,,nudifrons,penin,137,38.35,10.89,11.58,2.05,30.35,6.42,7.33,11.32,66.46,9.45,11.84,78.25
16557,7726,nudifrons,penin,141,38.19,11.08,11.39,1.47,29.55,4.8,7.51,10.52,65.8,8.96,11.16,77.65
16527,7786,nudifrons,penin,134,38.63,10.34,11.18,2.2,29.41,5.25,8.23,11.15,62.42,6.93,9.86,74.57
16527,7788,nudifrons,penin,110,29.86,7.72,10.09,1.12,25.64,4.02,8.22,8.47,53.73,5.97,10.35,59.64
16527,7787,nudifrons,penin,120,32.75,8.56,10.03,1.24,25.72,4.17,9.32,10.23,56.66,8.47,9.66,61.82
16527,7790,nudifrons,penin,110,30.29,7.94,8.85,1.31,26.3,3.73,7.95,9.77,51.26,5.73,10.55,62.06
16527,7791,nudifrons,penin,84,22.46,5.29,7.35,1.26,20.46,3.5,3.29,6.59,39.55,5.01,10.47,46.19
16527,7789,nudifrons,penin,103,26.84,8.01,9.25,1.26,24.63,3.61,7.28,8.08,49.37,5.77,11.24,54.59
24281,,nudifrons,Renaud,154,39.31,11.13,11.59,2.09,28.88,4.95,6.75,10.34,70.86,8.72,14.82,74.63
24235,,nudifrons,Renaud island,137,34.21,9.28,11.05,2.18,26.21,4.42,6.94,10.19,59.08,6.19,10.33,72.01
20079,3816,new,Sandwich,113,30.49,8.08,7.06,1.44,24.89,3.28,7.43,9.08,53.26,6.33,15.29,58.69
20081,3809,new,South Georgia,138,34.8,10.08,10.58,2.4,32.64,4.91,5.88,10.49,63.71,7.89,12.77,72.8
20081,3815,new,South Georgia,111,28.4,7.99,9.49,2.25,27.18,3.95,5.26,8.62,49.55,6.27,13.28,58.77
20081,3810,new,South Georgia,139,37.49,9.36,11.84,1.98,30.67,3.81,5.95,10.29,56.12,7.58,11.97,72.33
20081,3812,new,South Georgia,110,28.25,6.5,8.37,1.84,25.47,3.06,6.52,7.11,51.41,4.52,12.85,55.63
20081,3814,new,South Georgia,128,32.16,9.26,9.28,2.15,28.48,4.04,6.77,8.8,50.79,6.67,10.76,65.21
20081,3813,new,South Georgia,98,26.92,7.71,9.4,1.79,25.58,3.93,3.87,7.62,49.28,5.97,12.46,54.81
20081,3811,new,South Georgia,95,25.33,6.27,7.74,1.38,22.4,3.07,5.24,6.74,40.44,4.07,8.38,50.72
21580,229,new,South Georgia,141,37.77,9.68,9.98,3.03,29.4,5.63,8.52,11.45,66.71,10.98,10.04,71.43
21580,228,new,South Georgia,164,43.71,10.81,13.19,3.48,29.25,5.17,7.75,13.11,79.27,12.47,15.64,89.13
21580,230,new,South Georgia,85,24.5,6.28,7.01,2.34,20,4,4.36,7.1,39.99,7.05,9.28,44.49
